iter	Passed	Remaining
530	592	523
531	593	521
532	594	520
533	595	519
534	596	518
535	597	517
536	598	515
537	598	514
538	599	513
539	600	511
540	602	510
541	603	509
542	604	508
543	605	507
544	606	506
545	617	513
546	618	512
547	619	511
548	620	510
549	621	508
550	623	507
551	623	506
552	624	504
553	625	503
554	626	502
555	627	500
556	627	499
557	628	498
558	629	496
559	630	495
560	632	494
561	633	493
562	634	492
563	635	491
564	636	490
565	637	488
566	638	487
567	639	486
568	640	484
569	641	483
570	641	482
571	642	480
572	643	479
573	644	478
574	645	477
575	646	475
576	647	474
577	648	473
578	649	472
579	650	470
580	651	469
581	661	474
582	662	473
583	663	472
584	664	471
585	665	469
586	666	468
587	667	467
588	668	466
589	669	465
590	670	463
591	671	462
592	672	461
593	673	460
594	674	458
595	675	457
596	676	456
597	677	455
598	678	453
599	692	461
600	693	460
601	694	459
602	695	458
603	696	456
604	697	455
605	698	454
606	699	452
607	700	451
608	700	450
609	706	451
610	707	450
611	708	449
612	709	448
613	710	446
614	711	445
615	712	444
616	713	442
617	714	441
618	715	440
619	716	438
620	716	437
621	717	436
622	718	434
623	719	433
624	720	432
625	721	431
626	722	429
627	723	428
628	724	427
629	725	426
630	726	424
631	727	423
632	728	422
633	729	420
634	730	419
635	730	418
636	731	416
637	732	415
638	733	414
639	734	413
640	735	411
641	751	419
642	752	417
643	753	416
644	754	415
645	755	414
646	756	412
647	757	411
648	758	410
649	759	408
650	759	407
651	760	406
652	761	404
653	762	403
654	763	401
655	763	400
656	764	399
657	766	398
658	767	396
659	768	395
660	769	394
661	770	393
662	771	391
663	772	390
664	772	389
665	773	387
666	774	386
667	775	385
668	776	383
669	776	382
670	777	381
671	778	380
672	779	378
673	780	377
674	781	376
675	782	375
676	783	373
677	784	372
678	785	371
679	786	370
680	787	368
681	788	367
682	789	366
683	790	365
684	791	363
685	792	362
686	792	361
687	793	359
688	795	359
689	796	357
690	797	356
691	798	355
692	799	354
693	800	353
694	801	351
695	802	350
696	803	349
697	804	348
698	805	346
699	806	345
700	806	344
701	807	342
702	808	341
703	825	346
704	826	345
705	827	344
706	828	343
707	829	342
708	830	340
709	831	339
710	832	338
711	832	336
712	833	335
713	834	334
714	835	333
715	836	331
716	837	330
717	837	329
718	838	327
719	839	326
720	840	325
721	841	323
722	842	322
723	843	321
724	844	320
725	845	319
726	846	317
727	847	316
728	848	315
729	849	314
730	850	312
731	850	311
732	851	310
733	852	309
734	853	307
735	854	306
736	855	305
737	856	304
738	858	303
739	859	301
740	860	300
741	860	299
742	861	298
743	862	296
744	863	295
745	864	294
746	865	293
747	865	291
748	866	290
749	867	289
750	868	288
751	870	287
752	872	286
753	874	285
754	875	284
755	876	282
756	877	281
757	877	280
758	878	279
759	879	277
760	880	276
761	881	275
762	882	274
763	883	273
764	884	271
765	886	270
766	898	272
767	899	271
768	901	270
769	902	269
770	903	268
771	904	267
772	905	265
773	906	264
774	907	263
775	908	262
776	909	260
777	909	259
778	910	258
779	912	257
780	913	256
781	914	254
782	915	253
783	916	252
784	917	251
785	918	250
786	920	249
787	921	247
788	921	246
789	922	245
790	923	244
791	924	242
792	925	241
793	926	240
794	927	239
795	928	237
796	929	236
797	931	235
798	932	234
799	932	233
800	933	232
801	935	230
802	936	229
803	937	228
804	937	227
805	938	225
806	939	224
807	940	223
808	941	222
809	943	221
810	944	220
811	945	218
812	946	217
813	955	218
814	956	217
815	957	215
816	958	214
817	960	213
818	961	212
819	962	211
820	963	210
821	964	208
822	965	207
823	966	206
824	967	205
825	968	204
826	970	202
827	971	201
828	972	200
829	973	199
830	974	198
831	976	197
832	977	195
833	978	194
834	979	193
835	980	192
836	981	191
837	981	189
838	982	188
839	984	187
840	985	186
841	986	185
842	987	183
843	988	182
844	989	181
845	990	180
846	992	179
847	993	178
848	994	176
849	995	175
850	996	174
851	997	173
852	998	172
853	1015	173
854	1015	172
855	1016	171
856	1017	169
857	1019	168
858	1020	167
859	1021	166
860	1022	165
861	1023	163
862	1023	162
863	1030	162
864	1031	160
865	1032	159
866	1033	158
867	1034	157
868	1035	156
869	1036	154
870	1038	153
871	1039	152
872	1040	151
873	1042	150
874	1044	149
875	1045	148
876	1047	146
877	1049	145
878	1050	144
879	1051	143
880	1053	142
881	1054	141
882	1055	139
883	1056	138
884	1057	137
885	1058	136
886	1059	134
887	1060	133
888	1061	132
889	1062	131
890	1063	130
891	1064	128
892	1065	127
893	1067	126
894	1068	125
895	1069	124
896	1070	122
897	1071	121
898	1072	120
899	1074	119
900	1075	118
901	1077	117
902	1078	115
903	1079	114
904	1081	113
905	1083	112
906	1084	111
907	1085	110
908	1086	108
909	1087	107
910	1089	106
911	1090	105
912	1092	104
913	1093	102
914	1094	101
915	1095	100
916	1096	99
917	1097	97
918	1097	96
919	1098	95
920	1099	94
921	1100	93
922	1101	91
923	1103	90
924	1104	89
925	1105	88
926	1106	87
927	1107	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1113	78
934	1114	77
935	1114	76
936	1115	75
937	1117	73
938	1118	72
939	1119	71
940	1120	70
941	1132	69
942	1132	68
943	1133	67
944	1135	66
945	1136	64
946	1137	63
947	1138	62
948	1138	61
949	1139	59
950	1140	58
951	1141	57
952	1142	56
953	1143	55
954	1143	53
955	1144	52
956	1145	51
957	1147	50
958	1148	49
959	1149	47
960	1151	46
961	1152	45
962	1153	44
963	1154	43
964	1155	41
965	1156	40
966	1156	39
967	1157	38
968	1158	37
969	1159	35
970	1160	34
971	1161	33
972	1162	32
973	1163	31
974	1164	29
975	1165	28
976	1166	27
977	1167	26
978	1167	25
979	1168	23
980	1169	22
981	1174	21
982	1175	20
983	1176	19
984	1190	18
985	1191	16
986	1192	15
987	1193	14
988	1195	13
989	1204	12
990	1205	10
991	1206	9
992	1208	8
993	1209	7
994	1210	6
995	1211	4
996	1212	3
997	1213	2
998	1214	1
999	1215	0
